mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.417746623357137,0.09030194746012234,0.0415799617767334,0.01016971840458448,0.5,5,0.5,"{'learning_rate': 0.5, 'max_depth': 5, 'reg_lambda': 0.5}",0.4444444444444445,0.5,0.28571428571428575,0.41005291005291006,0.09079895397741011,11
2.4457879066467285,0.13695295367201513,0.03692460060119629,0.005402058916189233,0.5,5,1,"{'learning_rate': 0.5, 'max_depth': 5, 'reg_lambda': 1}",0.6666666666666665,0.5714285714285715,0.5,0.5793650793650794,0.06827242275430649,2
4.570713917414348,1.0953937884384886,0.07369478543599446,0.019738752469564087,0.5,8,0,"{'learning_rate': 0.5, 'max_depth': 8, 'reg_lambda': 0}",0.33333333333333337,0.33333333333333337,0.4,0.3555555555555556,0.03142696805273544,19
4.259273449579875,0.1104097310174762,0.09281516075134277,0.024538128801936405,0.5,8,0.1,"{'learning_rate': 0.5, 'max_depth': 8, 'reg_lambda': 0.1}",0.25,0.4000000000000001,0.28571428571428575,0.31190476190476196,0.06397632782164005,26
3.8466283480326333,0.29933682210371154,0.04984164237976074,0.011993189608112742,0.5,8,0.5,"{'learning_rate': 0.5, 'max_depth': 8, 'reg_lambda': 0.5}",0.25,0.22222222222222224,0.25,0.24074074074074073,0.013094570021973095,39
4.262635389963786,0.023879467563217432,0.08746155103047688,0.05575501694224788,0.5,8,1,"{'learning_rate': 0.5, 'max_depth': 8, 'reg_lambda': 1}",0.5,0.22222222222222224,0.25,0.32407407407407407,0.12491423669659298,24
6.572778781255086,0.5993465486069425,0.06171743075052897,0.005339982211674417,0.5,10,0,"{'learning_rate': 0.5, 'max_depth': 10, 'reg_lambda': 0}",0.33333333333333337,0.33333333333333337,0.4,0.3555555555555556,0.03142696805273544,19
7.040780544281006,0.2308590886356915,0.08642919858296712,0.02822184384284139,0.5,10,0.1,"{'learning_rate': 0.5, 'max_depth': 10, 'reg_lambda': 0.1}",0.28571428571428575,0.22222222222222224,0.3333333333333333,0.28042328042328046,0.04551494850287103,34
6.944153388341268,0.23742624183340283,0.10093895594278972,0.036460934824473726,0.5,10,0.5,"{'learning_rate': 0.5, 'max_depth': 10, 'reg_lambda': 0.5}",0.20000000000000004,0.25,0.5,0.3166666666666667,0.1312334645668635,25
6.661274989446004,0.28949010607901304,0.10267861684163411,0.04369464733557851,0.5,10,1,"{'learning_rate': 0.5, 'max_depth': 10, 'reg_lambda': 1}",0.3333333333333333,0.1818181818181818,0.5714285714285715,0.36219336219336223,0.16036154957354168,18
297.925700823466,8.70694234162305,0.0,0.0,0.5,16,0,"{'learning_rate': 0.5, 'max_depth': 16, 'reg_lambda': 0}",,,,,,64
329.59140396118164,5.1296814853655865,0.09579753875732422,0.01637994019746419,0.5,16,0.1,"{'learning_rate': 0.5, 'max_depth': 16, 'reg_lambda': 0.1}",0.20000000000000004,0.22222222222222224,0.2,0.2074074074074074,0.010475656017578477,44
300.74498812357587,26.974115137986615,0.05898698170979818,0.006711022157169508,0.5,16,0.5,"{'learning_rate': 0.5, 'max_depth': 16, 'reg_lambda': 0.5}",0.13333333333333333,0.3076923076923077,0.2,0.21367521367521367,0.07183556030581435,43
261.2577206293742,4.633988747966416,0.08103656768798828,0.015620381430813521,0.5,16,1,"{'learning_rate': 0.5, 'max_depth': 16, 'reg_lambda': 1}",0.2857142857142857,0.16666666666666666,0.3333333333333333,0.26190476190476186,0.07009334020895115,37
2.3366275628407798,0.10782438647345385,0.06705832481384277,0.01929320624394857,1,5,0,"{'learning_rate': 1, 'max_depth': 5, 'reg_lambda': 0}",0.5714285714285715,0.5714285714285715,0.4,0.5142857142857143,0.08081220356417688,4
2.5764753818511963,0.22471947151599497,0.08948238690694173,0.01155273234115909,1,5,0.1,"{'learning_rate': 1, 'max_depth': 5, 'reg_lambda': 0.1}",0.7499999999999999,0.5714285714285715,0.5,0.6071428571428571,0.10514001031342668,1
2.434769550959269,0.06724304417277925,0.05213578542073568,0.001983522336756304,1,5,0.5,"{'learning_rate': 1, 'max_depth': 5, 'reg_lambda': 0.5}",0.4444444444444445,0.5,0.5714285714285715,0.5052910052910052,0.05197588017033997,5
2.3559751510620117,0.043651387547323624,0.0663454532623291,0.014502188080782822,1,5,1,"{'learning_rate': 1, 'max_depth': 5, 'reg_lambda': 1}",0.6666666666666665,0.6666666666666665,0.28571428571428575,0.5396825396825397,0.1795826745870596,3
3.282546043395996,0.11324808349835047,0.0,0.0,1,8,0,"{'learning_rate': 1, 'max_depth': 8, 'reg_lambda': 0}",,,,,,61
3.876544952392578,0.18332927627418305,0.059642632802327476,0.01370568279581583,1,8,0.1,"{'learning_rate': 1, 'max_depth': 8, 'reg_lambda': 0.1}",0.28571428571428575,0.4444444444444445,0.25,0.32671957671957674,0.08451128489398566,23
3.492276748021444,0.09358067315986793,0.06434202194213867,0.02527281853063799,1,8,0.5,"{'learning_rate': 1, 'max_depth': 8, 'reg_lambda': 0.5}",0.22222222222222224,0.22222222222222224,0.25,0.23148148148148148,0.013094570021973095,41
3.7717079321543374,0.21371383503090294,0.06537350018819173,0.016125147730111315,1,8,1,"{'learning_rate': 1, 'max_depth': 8, 'reg_lambda': 1}",0.22222222222222224,0.3636363636363636,0.22222222222222224,0.26936026936026936,0.06666326556640849,36
4.264506260553996,0.3426099077575208,0.0,0.0,1,10,0,"{'learning_rate': 1, 'max_depth': 10, 'reg_lambda': 0}",,,,,,62
6.276527643203735,0.17803318518280278,0.09340039889017741,0.03458991543495521,1,10,0.1,"{'learning_rate': 1, 'max_depth': 10, 'reg_lambda': 0.1}",0.3076923076923077,0.7272727272727272,0.3333333333333333,0.45609945609945607,0.19203397754579832,6
6.497027635574341,0.13513132372103165,0.08395973841349284,0.008408004105588231,1,10,0.5,"{'learning_rate': 1, 'max_depth': 10, 'reg_lambda': 0.5}",0.4000000000000001,0.4444444444444445,0.28571428571428575,0.3767195767195768,0.0668595513182278,15
7.0069065888722735,0.7448776287289717,0.0995787779490153,0.028304510765476753,1,10,1,"{'learning_rate': 1, 'max_depth': 10, 'reg_lambda': 1}",0.4000000000000001,0.25,0.4444444444444445,0.36481481481481487,0.08318917572302299,17
132.8775942325592,4.803753348043846,0.0,0.0,1,16,0,"{'learning_rate': 1, 'max_depth': 16, 'reg_lambda': 0}",,,,,,63
246.05321749051413,18.215292252244634,0.058392842610677086,0.006271975126794819,1,16,0.1,"{'learning_rate': 1, 'max_depth': 16, 'reg_lambda': 0.1}",0.3333333333333333,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.07856742013183861,42
200.65842827161154,12.56148424553587,0.018774986267089844,0.011195114265827552,1,16,0.5,"{'learning_rate': 1, 'max_depth': 16, 'reg_lambda': 0.5}",0.3076923076923077,0.1111111111111111,0.28571428571428575,0.23483923483923486,0.08794788158706279,40
178.97946667671204,3.017453067709509,0.013375997543334961,0.00448141480478353,1,16,1,"{'learning_rate': 1, 'max_depth': 16, 'reg_lambda': 1}",0.3333333333333333,0.12500000000000003,0.36363636363636365,0.273989898989899,0.10607563626064757,35
